sepal_length,sepal_width,petal_length,petal_width,species
142.1,140.5,138.4,1.8,virginica
143.1,141.5,139.4,1.8,virginica
144.1,142.5,140.4,2.1,virginica
145.1,143.5,141.4,2.4,virginica
146.1,144.5,142.4,2.3,virginica
147.1,145.5,143.4,1.9,virginica
148.1,146.5,144.4,2.3,virginica
149.1,147.5,145.4,2.5,virginica
150.1,148.5,146.4,2.3,virginica
151.1,149.5,147.4,1.9,virginica
152.1,150.5,148.4,2,virginica
153.1,151.5,149.4,2.3,virginica
154.1,152.5,150.4,1.8,virginica
155.1,153.5,151.4,0.2,setosa
156.1,154.5,152.4,0.2,setosa
157.1,155.5,153.4,0.2,setosa
158.1,156.5,154.4,0.2,setosa
159.1,157.5,155.4,0.2,setosa
160.1,158.5,156.4,0.4,setosa
161.1,159.5,157.4,0.3,setosa
162.1,160.5,158.4,0.2,setosa
163.1,161.5,159.4,0.2,setosa
164.1,162.5,160.4,0.1,setosa
165.1,163.5,161.4,0.2,setosa
166.1,164.5,162.4,0.2,setosa
167.1,165.5,163.4,0.1,setosa
168.1,166.5,164.4,0.1,setosa
169.1,167.5,165.4,0.2,setosa
170.1,168.5,166.4,0.4,setosa
171.1,169.5,167.4,0.4,setosa
172.1,170.5,168.4,0.3,setosa
173.1,171.5,169.4,0.3,setosa
174.1,172.5,170.4,0.3,setosa
175.1,173.5,171.4,0.2,setosa
176.1,174.5,172.4,0.4,setosa
177.1,175.5,173.4,0.2,setosa
178.1,176.5,174.4,0.5,setosa
179.1,177.5,175.4,0.2,setosa
180.1,178.5,176.4,0.2,setosa
181.1,179.5,177.4,0.4,setosa
182.1,180.5,178.4,0.2,setosa
183.1,181.5,179.4,0.2,setosa
184.1,182.5,180.4,0.2,setosa
185.1,183.5,181.4,0.2,setosa
186.1,184.5,182.4,0.4,setosa
187.1,185.5,183.4,0.1,setosa
188.1,186.5,184.4,0.2,setosa
189.1,187.5,185.4,0.1,setosa
190.1,188.5,186.4,0.2,setosa
191.1,189.5,187.4,0.2,setosa
192.1,190.5,188.4,0.1,setosa
193.1,191.5,189.4,0.2,setosa
194.1,192.5,190.4,0.2,setosa
195.1,193.5,191.4,0.3,setosa
196.1,194.5,192.4,0.3,setosa
197.1,195.5,193.4,0.2,setosa
198.1,196.5,194.4,0.6,setosa
199.1,197.5,195.4,0.4,setosa
200.1,198.5,196.4,0.3,setosa
201.1,199.5,197.4,0.2,setosa
202.1,200.5,198.4,0.2,setosa
203.1,201.5,199.4,0.2,setosa
204.1,202.5,200.4,0.2,setosa
205.1,203.5,201.4,1.4,versicolor
206.1,204.5,202.4,1.5,versicolor
207.1,205.5,203.4,1.5,versicolor
208.1,206.5,204.4,1.3,versicolor
209.1,207.5,205.4,1.5,versicolor
210.1,208.5,206.4,1.3,versicolor
211.1,209.5,207.4,1.6,versicolor
212.1,210.5,208.4,1,versicolor
213.1,211.5,209.4,1.3,versicolor
214.1,212.5,210.4,1.4,versicolor
215.1,213.5,211.4,1,versicolor
216.1,214.5,212.4,1.5,versicolor
217.1,215.5,213.4,1,versicolor
218.1,216.5,214.4,1.4,versicolor
219.1,217.5,215.4,1.3,versicolor
220.1,218.5,216.4,1.4,versicolor
221.1,219.5,217.4,1.5,versicolor
222.1,220.5,218.4,1,versicolor
223.1,221.5,219.4,1.5,versicolor
224.1,222.5,220.4,1.1,versicolor
225.1,223.5,221.4,1.8,versicolor
226.1,224.5,222.4,1.3,versicolor
227.1,225.5,223.4,1.5,versicolor
228.1,226.5,224.4,1.2,versicolor
229.1,227.5,225.4,1.3,versicolor
230.1,228.5,226.4,1.4,versicolor
231.1,229.5,227.4,1.4,versicolor
232.1,230.5,228.4,1.7,versicolor
233.1,231.5,229.4,1.5,versicolor
234.1,232.5,230.4,1,versicolor
235.1,233.5,231.4,1.1,versicolor
236.1,234.5,232.4,1,versicolor
237.1,235.5,233.4,1.2,versicolor
238.1,236.5,234.4,1.6,versicolor
239.1,237.5,235.4,1.5,versicolor
240.1,238.5,236.4,1.6,versicolor
241.1,239.5,237.4,1.5,versicolor
242.1,240.5,238.4,1.3,versicolor
243.1,241.5,239.4,1.3,versicolor
244.1,242.5,240.4,1.3,versicolor
245.1,243.5,241.4,1.2,versicolor
246.1,244.5,242.4,1.4,versicolor
247.1,245.5,243.4,1.2,versicolor
248.1,246.5,244.4,1,versicolor
249.1,247.5,245.4,1.3,versicolor
250.1,248.5,246.4,1.2,versicolor
251.1,249.5,247.4,1.3,versicolor
252.1,250.5,248.4,1.3,versicolor
253.1,251.5,249.4,1.1,versicolor
254.1,252.5,250.4,1.3,versicolor
255.1,253.5,251.4,2.5,virginica
256.1,254.5,252.4,1.9,virginica
257.1,255.5,253.4,2.1,virginica
258.1,256.5,254.4,1.8,virginica
259.1,257.5,255.4,2.2,virginica
260.1,258.5,256.4,2.1,virginica
261.1,259.5,257.4,1.7,virginica
262.1,260.5,258.4,1.8,virginica
263.1,261.5,259.4,1.8,virginica
264.1,262.5,260.4,2.5,virginica
265.1,263.5,261.4,2,virginica
266.1,264.5,262.4,1.9,virginica
267.1,265.5,263.4,2.1,virginica
268.1,266.5,264.4,2,virginica
269.1,267.5,265.4,2.4,virginica
270.1,268.5,266.4,2.3,virginica
271.1,269.5,267.4,1.8,virginica
272.1,270.5,268.4,2.2,virginica
273.1,271.5,269.4,2.3,virginica
274.1,272.5,270.4,1.5,virginica
275.1,273.5,271.4,2.3,virginica
276.1,274.5,272.4,2,virginica
277.1,275.5,273.4,2,virginica
278.1,276.5,274.4,1.8,virginica
279.1,277.5,275.4,2.1,virginica
280.1,278.5,276.4,1.8,virginica
281.1,279.5,277.4,1.8,virginica
282.1,280.5,278.4,1.8,virginica
283.1,281.5,279.4,2.1,virginica
284.1,282.5,280.4,1.6,virginica
285.1,283.5,281.4,1.9,virginica
286.1,284.5,282.4,2,virginica
287.1,285.5,283.4,2.2,virginica
288.1,286.5,284.4,1.5,virginica
289.1,287.5,285.4,1.4,virginica
290.1,288.5,286.4,2.3,virginica
291.1,289.5,287.4,2.4,virginica
292.1,290.5,288.4,1.8,virginica
293.1,291.5,289.4,1.8,virginica
294.1,292.5,290.4,2.1,virginica
295.1,293.5,291.4,2.4,virginica
296.1,294.5,292.4,2.3,virginica
297.1,295.5,293.4,1.9,virginica
298.1,296.5,294.4,2.3,virginica
299.1,297.5,295.4,2.5,virginica
300.1,298.5,296.4,2.3,virginica
301.1,299.5,297.4,1.9,virginica
302.1,300.5,298.4,2,virginica
303.1,301.5,299.4,2.3,virginica
304.1,302.5,300.4,1.8,virginica
305.1,303.5,301.4,0.2,setosa
306.1,304.5,302.4,0.2,setosa
307.1,305.5,303.4,0.2,setosa
308.1,306.5,304.4,0.2,setosa
309.1,307.5,305.4,0.2,setosa
310.1,308.5,306.4,0.4,setosa
311.1,309.5,307.4,0.3,setosa
312.1,310.5,308.4,0.2,setosa
313.1,311.5,309.4,0.2,setosa
314.1,312.5,310.4,0.1,setosa
315.1,313.5,311.4,0.2,setosa
316.1,314.5,312.4,0.2,setosa
317.1,315.5,313.4,0.1,setosa
318.1,316.5,314.4,0.1,setosa
319.1,317.5,315.4,0.2,setosa
320.1,318.5,316.4,0.4,setosa
321.1,319.5,317.4,0.4,setosa
322.1,320.5,318.4,0.3,setosa
323.1,321.5,319.4,0.3,setosa
324.1,322.5,320.4,0.3,setosa
325.1,323.5,321.4,0.2,setosa
326.1,324.5,322.4,0.4,setosa
327.1,325.5,323.4,0.2,setosa
328.1,326.5,324.4,0.5,setosa
329.1,327.5,325.4,0.2,setosa
330.1,328.5,326.4,0.2,setosa
331.1,329.5,327.4,0.4,setosa
332.1,330.5,328.4,0.2,setosa
333.1,331.5,329.4,0.2,setosa
334.1,332.5,330.4,0.2,setosa
335.1,333.5,331.4,0.2,setosa
336.1,334.5,332.4,0.4,setosa
337.1,335.5,333.4,0.1,setosa
338.1,336.5,334.4,0.2,setosa
339.1,337.5,335.4,0.1,setosa
340.1,338.5,336.4,0.2,setosa
341.1,339.5,337.4,0.2,setosa
342.1,340.5,338.4,0.1,setosa
343.1,341.5,339.4,0.2,setosa
344.1,342.5,340.4,0.2,setosa
345.1,343.5,341.4,0.3,setosa
346.1,344.5,342.4,0.3,setosa
347.1,345.5,343.4,0.2,setosa
348.1,346.5,344.4,0.6,setosa
349.1,347.5,345.4,0.4,setosa
350.1,348.5,346.4,0.3,setosa
351.1,349.5,347.4,0.2,setosa
352.1,350.5,348.4,0.2,setosa
353.1,351.5,349.4,0.2,setosa
354.1,352.5,350.4,0.2,setosa
355.1,353.5,351.4,1.4,versicolor
356.1,354.5,352.4,1.5,versicolor
357.1,355.5,353.4,1.5,versicolor
358.1,356.5,354.4,1.3,versicolor
359.1,357.5,355.4,1.5,versicolor
360.1,358.5,356.4,1.3,versicolor
361.1,359.5,357.4,1.6,versicolor
362.1,360.5,358.4,1,versicolor
363.1,361.5,359.4,1.3,versicolor
364.1,362.5,360.4,1.4,versicolor
365.1,363.5,361.4,1,versicolor
366.1,364.5,362.4,1.5,versicolor
367.1,365.5,363.4,1,versicolor
368.1,366.5,364.4,1.4,versicolor
369.1,367.5,365.4,1.3,versicolor
370.1,368.5,366.4,1.4,versicolor
371.1,369.5,367.4,1.5,versicolor
372.1,370.5,368.4,1,versicolor
373.1,371.5,369.4,1.5,versicolor
374.1,372.5,370.4,1.1,versicolor
375.1,373.5,371.4,1.8,versicolor
376.1,374.5,372.4,1.3,versicolor
377.1,375.5,373.4,1.5,versicolor
378.1,376.5,374.4,1.2,versicolor
379.1,377.5,375.4,1.3,versicolor
380.1,378.5,376.4,1.4,versicolor
381.1,379.5,377.4,1.4,versicolor
382.1,380.5,378.4,1.7,versicolor
383.1,381.5,379.4,1.5,versicolor
384.1,382.5,380.4,1,versicolor
385.1,383.5,381.4,1.1,versicolor
386.1,384.5,382.4,1,versicolor
387.1,385.5,383.4,1.2,versicolor
388.1,386.5,384.4,1.6,versicolor
389.1,387.5,385.4,1.5,versicolor
390.1,388.5,386.4,1.6,versicolor
391.1,389.5,387.4,1.5,versicolor
392.1,390.5,388.4,1.3,versicolor
393.1,391.5,389.4,1.3,versicolor
394.1,392.5,390.4,1.3,versicolor
395.1,393.5,391.4,1.2,versicolor
396.1,394.5,392.4,1.4,versicolor
397.1,395.5,393.4,1.2,versicolor
398.1,396.5,394.4,1,versicolor
399.1,397.5,395.4,1.3,versicolor
400.1,398.5,396.4,1.2,versicolor
401.1,399.5,397.4,1.3,versicolor
402.1,400.5,398.4,1.3,versicolor
403.1,401.5,399.4,1.1,versicolor
404.1,402.5,400.4,1.3,versicolor
405.1,403.5,401.4,2.5,virginica
406.1,404.5,402.4,1.9,virginica
407.1,405.5,403.4,2.1,virginica
408.1,406.5,404.4,1.8,virginica
409.1,407.5,405.4,2.2,virginica
410.1,408.5,406.4,2.1,virginica
411.1,409.5,407.4,1.7,virginica
412.1,410.5,408.4,1.8,virginica
413.1,411.5,409.4,1.8,virginica
414.1,412.5,410.4,2.5,virginica
415.1,413.5,411.4,2,virginica
416.1,414.5,412.4,1.9,virginica
417.1,415.5,413.4,2.1,virginica
418.1,416.5,414.4,2,virginica
419.1,417.5,415.4,2.4,virginica
420.1,418.5,416.4,2.3,virginica
421.1,419.5,417.4,1.8,virginica
422.1,420.5,418.4,2.2,virginica
423.1,421.5,419.4,2.3,virginica
424.1,422.5,420.4,1.5,virginica
425.1,423.5,421.4,2.3,virginica
426.1,424.5,422.4,2,virginica
427.1,425.5,423.4,2,virginica
428.1,426.5,424.4,1.8,virginica
429.1,427.5,425.4,2.1,virginica
430.1,428.5,426.4,1.8,virginica
431.1,429.5,427.4,1.8,virginica
432.1,430.5,428.4,1.8,virginica
433.1,431.5,429.4,2.1,virginica
434.1,432.5,430.4,1.6,virginica
435.1,433.5,431.4,1.9,virginica
436.1,434.5,432.4,2,virginica
437.1,435.5,433.4,2.2,virginica
438.1,436.5,434.4,1.5,virginica
439.1,437.5,435.4,1.4,virginica
440.1,438.5,436.4,2.3,virginica
441.1,439.5,437.4,2.4,virginica
442.1,440.5,438.4,1.8,virginica
443.1,441.5,439.4,1.8,virginica
444.1,442.5,440.4,2.1,virginica
445.1,443.5,441.4,2.4,virginica
446.1,444.5,442.4,2.3,virginica
447.1,445.5,443.4,1.9,virginica
448.1,446.5,444.4,2.3,virginica
449.1,447.5,445.4,2.5,virginica
450.1,448.5,446.4,2.3,virginica
451.1,449.5,447.4,1.9,virginica
452.1,450.5,448.4,2,virginica
453.1,451.5,449.4,2.3,virginica
454.1,452.5,450.4,1.8,virginica
455.1,453.5,451.4,0.2,setosa
456.1,454.5,452.4,0.2,setosa
457.1,455.5,453.4,0.2,setosa
458.1,456.5,454.4,0.2,setosa
459.1,457.5,455.4,0.2,setosa
460.1,458.5,456.4,0.4,setosa
461.1,459.5,457.4,0.3,setosa
462.1,460.5,458.4,0.2,setosa
463.1,461.5,459.4,0.2,setosa
464.1,462.5,460.4,0.1,setosa
465.1,463.5,461.4,0.2,setosa
466.1,464.5,462.4,0.2,setosa
467.1,465.5,463.4,0.1,setosa
468.1,466.5,464.4,0.1,setosa
469.1,467.5,465.4,0.2,setosa
470.1,468.5,466.4,0.4,setosa
471.1,469.5,467.4,0.4,setosa
472.1,470.5,468.4,0.3,setosa
473.1,471.5,469.4,0.3,setosa
474.1,472.5,470.4,0.3,setosa
475.1,473.5,471.4,0.2,setosa
476.1,474.5,472.4,0.4,setosa
477.1,475.5,473.4,0.2,setosa
478.1,476.5,474.4,0.5,setosa
479.1,477.5,475.4,0.2,setosa
480.1,478.5,476.4,0.2,setosa
481.1,479.5,477.4,0.4,setosa
482.1,480.5,478.4,0.2,setosa
483.1,481.5,479.4,0.2,setosa
484.1,482.5,480.4,0.2,setosa
485.1,483.5,481.4,0.2,setosa
486.1,484.5,482.4,0.4,setosa
487.1,485.5,483.4,0.1,setosa
488.1,486.5,484.4,0.2,setosa
489.1,487.5,485.4,0.1,setosa
490.1,488.5,486.4,0.2,setosa
491.1,489.5,487.4,0.2,setosa
492.1,490.5,488.4,0.1,setosa
493.1,491.5,489.4,0.2,setosa
494.1,492.5,490.4,0.2,setosa
495.1,493.5,491.4,0.3,setosa
496.1,494.5,492.4,0.3,setosa
497.1,495.5,493.4,0.2,setosa
498.1,496.5,494.4,0.6,setosa
499.1,497.5,495.4,0.4,setosa
500.1,498.5,496.4,0.3,setosa
501.1,499.5,497.4,0.2,setosa
502.1,500.5,498.4,0.2,setosa
503.1,501.5,499.4,0.2,setosa
504.1,502.5,500.4,0.2,setosa
505.1,503.5,501.4,1.4,versicolor
506.1,504.5,502.4,1.5,versicolor
507.1,505.5,503.4,1.5,versicolor
508.1,506.5,504.4,1.3,versicolor
509.1,507.5,505.4,1.5,versicolor
510.1,508.5,506.4,1.3,versicolor
511.1,509.5,507.4,1.6,versicolor
512.1,510.5,508.4,1,versicolor
513.1,511.5,509.4,1.3,versicolor
514.1,512.5,510.4,1.4,versicolor
515.1,513.5,511.4,1,versicolor
516.1,514.5,512.4,1.5,versicolor
517.1,515.5,513.4,1,versicolor
518.1,516.5,514.4,1.4,versicolor
519.1,517.5,515.4,1.3,versicolor
520.1,518.5,516.4,1.4,versicolor
521.1,519.5,517.4,1.5,versicolor
522.1,520.5,518.4,1,versicolor
523.1,521.5,519.4,1.5,versicolor
524.1,522.5,520.4,1.1,versicolor
525.1,523.5,521.4,1.8,versicolor
526.1,524.5,522.4,1.3,versicolor
527.1,525.5,523.4,1.5,versicolor
528.1,526.5,524.4,1.2,versicolor
529.1,527.5,525.4,1.3,versicolor
530.1,528.5,526.4,1.4,versicolor
531.1,529.5,527.4,1.4,versicolor
532.1,530.5,528.4,1.7,versicolor
533.1,531.5,529.4,1.5,versicolor
534.1,532.5,530.4,1,versicolor
535.1,533.5,531.4,1.1,versicolor
536.1,534.5,532.4,1,versicolor
537.1,535.5,533.4,1.2,versicolor
538.1,536.5,534.4,1.6,versicolor
539.1,537.5,535.4,1.5,versicolor
540.1,538.5,536.4,1.6,versicolor
541.1,539.5,537.4,1.5,versicolor
542.1,540.5,538.4,1.3,versicolor
543.1,541.5,539.4,1.3,versicolor
544.1,542.5,540.4,1.3,versicolor
545.1,543.5,541.4,1.2,versicolor
546.1,544.5,542.4,1.4,versicolor
547.1,545.5,543.4,1.2,versicolor
548.1,546.5,544.4,1,versicolor
549.1,547.5,545.4,1.3,versicolor
550.1,548.5,546.4,1.2,versicolor
551.1,549.5,547.4,1.3,versicolor
552.1,550.5,548.4,1.3,versicolor
553.1,551.5,549.4,1.1,versicolor
554.1,552.5,550.4,1.3,versicolor
555.1,553.5,551.4,2.5,virginica
556.1,554.5,552.4,1.9,virginica
557.1,555.5,553.4,2.1,virginica
558.1,556.5,554.4,1.8,virginica
559.1,557.5,555.4,2.2,virginica
560.1,558.5,556.4,2.1,virginica
561.1,559.5,557.4,1.7,virginica
562.1,560.5,558.4,1.8,virginica
563.1,561.5,559.4,1.8,virginica
564.1,562.5,560.4,2.5,virginica
565.1,563.5,561.4,2,virginica
566.1,564.5,562.4,1.9,virginica
567.1,565.5,563.4,2.1,virginica
568.1,566.5,564.4,2,virginica
569.1,567.5,565.4,2.4,virginica
570.1,568.5,566.4,2.3,virginica
571.1,569.5,567.4,1.8,virginica
572.1,570.5,568.4,2.2,virginica
573.1,571.5,569.4,2.3,virginica
574.1,572.5,570.4,1.5,virginica
575.1,573.5,571.4,2.3,virginica
576.1,574.5,572.4,2,virginica
577.1,575.5,573.4,2,virginica
578.1,576.5,574.4,1.8,virginica
579.1,577.5,575.4,2.1,virginica
580.1,578.5,576.4,1.8,virginica
581.1,579.5,577.4,1.8,virginica
582.1,580.5,578.4,1.8,virginica
583.1,581.5,579.4,2.1,virginica
584.1,582.5,580.4,1.6,virginica
585.1,583.5,581.4,1.9,virginica
586.1,584.5,582.4,2,virginica
587.1,585.5,583.4,2.2,virginica
588.1,586.5,584.4,1.5,virginica
589.1,587.5,585.4,1.4,virginica
590.1,588.5,586.4,2.3,virginica
591.1,589.5,587.4,2.4,virginica
592.1,590.5,588.4,1.8,virginica
593.1,591.5,589.4,1.8,virginica
594.1,592.5,590.4,2.1,virginica
595.1,593.5,591.4,2.4,virginica
596.1,594.5,592.4,2.3,virginica
597.1,595.5,593.4,1.9,virginica
598.1,596.5,594.4,2.3,virginica
599.1,597.5,595.4,2.5,virginica
600.1,598.5,596.4,2.3,virginica
601.1,599.5,597.4,1.9,virginica
602.1,600.5,598.4,2,virginica
603.1,601.5,599.4,2.3,virginica
604.1,602.5,600.4,1.8,virginica
605.1,603.5,601.4,0.2,setosa
606.1,604.5,602.4,0.2,setosa
607.1,605.5,603.4,0.2,setosa
608.1,606.5,604.4,0.2,setosa
609.1,607.5,605.4,0.2,setosa
610.1,608.5,606.4,0.4,setosa
611.1,609.5,607.4,0.3,setosa
612.1,610.5,608.4,0.2,setosa
613.1,611.5,609.4,0.2,setosa
614.1,612.5,610.4,0.1,setosa
615.1,613.5,611.4,0.2,setosa
616.1,614.5,612.4,0.2,setosa
617.1,615.5,613.4,0.1,setosa
618.1,616.5,614.4,0.1,setosa
619.1,617.5,615.4,0.2,setosa
620.1,618.5,616.4,0.4,setosa
621.1,619.5,617.4,0.4,setosa
622.1,620.5,618.4,0.3,setosa
623.1,621.5,619.4,0.3,setosa
624.1,622.5,620.4,0.3,setosa
625.1,623.5,621.4,0.2,setosa
626.1,624.5,622.4,0.4,setosa
627.1,625.5,623.4,0.2,setosa
628.1,626.5,624.4,0.5,setosa
629.1,627.5,625.4,0.2,setosa
630.1,628.5,626.4,0.2,setosa
631.1,629.5,627.4,0.4,setosa
632.1,630.5,628.4,0.2,setosa
633.1,631.5,629.4,0.2,setosa
634.1,632.5,630.4,0.2,setosa
635.1,633.5,631.4,0.2,setosa
636.1,634.5,632.4,0.4,setosa
637.1,635.5,633.4,0.1,setosa
638.1,636.5,634.4,0.2,setosa
639.1,637.5,635.4,0.1,setosa
640.1,638.5,636.4,0.2,setosa
641.1,639.5,637.4,0.2,setosa
642.1,640.5,638.4,0.1,setosa
643.1,641.5,639.4,0.2,setosa
644.1,642.5,640.4,0.2,setosa
645.1,643.5,641.4,0.3,setosa
646.1,644.5,642.4,0.3,setosa
647.1,645.5,643.4,0.2,setosa
648.1,646.5,644.4,0.6,setosa
649.1,647.5,645.4,0.4,setosa
650.1,648.5,646.4,0.3,setosa
651.1,649.5,647.4,0.2,setosa
652.1,650.5,648.4,0.2,setosa
653.1,651.5,649.4,0.2,setosa
654.1,652.5,650.4,0.2,setosa
655.1,653.5,651.4,1.4,versicolor
656.1,654.5,652.4,1.5,versicolor
657.1,655.5,653.4,1.5,versicolor
658.1,656.5,654.4,1.3,versicolor
659.1,657.5,655.4,1.5,versicolor
660.1,658.5,656.4,1.3,versicolor
661.1,659.5,657.4,1.6,versicolor
662.1,660.5,658.4,1,versicolor
663.1,661.5,659.4,1.3,versicolor
664.1,662.5,660.4,1.4,versicolor
665.1,663.5,661.4,1,versicolor
666.1,664.5,662.4,1.5,versicolor
667.1,665.5,663.4,1,versicolor
668.1,666.5,664.4,1.4,versicolor
669.1,667.5,665.4,1.3,versicolor
670.1,668.5,666.4,1.4,versicolor
671.1,669.5,667.4,1.5,versicolor
672.1,670.5,668.4,1,versicolor
673.1,671.5,669.4,1.5,versicolor
674.1,672.5,670.4,1.1,versicolor
675.1,673.5,671.4,1.8,versicolor
676.1,674.5,672.4,1.3,versicolor
677.1,675.5,673.4,1.5,versicolor
678.1,676.5,674.4,1.2,versicolor
679.1,677.5,675.4,1.3,versicolor
680.1,678.5,676.4,1.4,versicolor
681.1,679.5,677.4,1.4,versicolor
682.1,680.5,678.4,1.7,versicolor
683.1,681.5,679.4,1.5,versicolor
684.1,682.5,680.4,1,versicolor
685.1,683.5,681.4,1.1,versicolor
686.1,684.5,682.4,1,versicolor
687.1,685.5,683.4,1.2,versicolor
688.1,686.5,684.4,1.6,versicolor
689.1,687.5,685.4,1.5,versicolor
690.1,688.5,686.4,1.6,versicolor
691.1,689.5,687.4,1.5,versicolor
692.1,690.5,688.4,1.3,versicolor
693.1,691.5,689.4,1.3,versicolor
694.1,692.5,690.4,1.3,versicolor
695.1,693.5,691.4,1.2,versicolor
